temp,SLABweight,SLABwide,SLABthick,SLABlong,RolljoblinLT,SHEARinLT,TSmean
616,28.16 ton,1330 mm,250 mm,10830 mm,8.5,4.2,442
677,22.19 ton,1000 mm,250 mm,11350 mm,10.1,2.5,425
402,19.29 ton,1300 mm,250 mm,7590 mm,9.5,10.6,300
345,19.12 ton,1000 mm,250 mm,9780 mm,12.3,10.7,331
483,19.12 ton,1000 mm,250 mm,9780 mm,11.6,11.4,327
410,22.7 ton,1270 mm,246 mm,9290 mm,12.6,13.3,278
416,22.7 ton,1270 mm,246 mm,9290 mm,13.1,14.4,273
353,32.76 ton,1420 mm,250 mm,11800 mm,11.4,14.2,527
298,18.06 ton,1240 mm,250 mm,7450 mm,9.1,14.9,519
382,18.61 ton,1000 mm,250 mm,9520 mm,11.2,8.7,338
463,18.61 ton,1000 mm,250 mm,9520 mm,11.2,8.8,338
513,16.88 ton,950 mm,250 mm,9090 mm,11.5,4.7,342
216,29.73 ton,1290 mm,250 mm,11790 mm,11.4,16.6,334
446,15.96 ton,900 mm,250 mm,9070 mm,13.6,8,300
669,18.62 ton,1100 mm,250 mm,8660 mm,3.1,3.6,331
666,25.95 ton,1290 mm,250 mm,10290 mm,6.3,5.5,340
489,26.88 ton,1290 mm,250 mm,10660 mm,8.5,5.3,520
572,24.17 ton,1400 mm,250 mm,8830 mm,10.8,5.2,274
430,25.87 ton,1390 mm,250 mm,9520 mm,12,11,337
643,27.33 ton,1200 mm,250 mm,11650 mm,7,4.7,337
500,34.78 ton,1500 mm,250 mm,11860 mm,10.2,13.6,326
332,28 ton,1390 mm,246 mm,10470 mm,12.7,18.3,314
558,29.25 ton,1300 mm,250 mm,11690 mm,12.9,10.8,352
510,19.29 ton,1300 mm,250 mm,7590 mm,9.6,10.6,300
465,24.03 ton,1570 mm,250 mm,7830 mm,10.9,7.8,264
552,29 ton,1500 mm,250 mm,9890 mm,10.4,13.6,317
640,24.46 ton,1570 mm,250 mm,7970 mm,11.4,8,266
461,24.46 ton,1570 mm,250 mm,7970 mm,11.4,8.2,265
585,17.07 ton,950 mm,250 mm,9190 mm,11.2,6.1,328
434,27.55 ton,1390 mm,250 mm,10140 mm,11.3,10,337
564,16.7 ton,1000 mm,250 mm,8540 mm,3.5,5.7,320
686,18.62 ton,1100 mm,250 mm,8660 mm,3,3.6,332
205,22.86 ton,1350 mm,250 mm,8790 mm,10,18.3,344
542,19.49 ton,1000 mm,250 mm,9970 mm,11.3,6.7,346
296,29.63 ton,1310 mm,250 mm,11660 mm,10.2,17.5,334
334,28.19 ton,1460 mm,244 mm,10120 mm,8.4,12.3,313
613,19.08 ton,1000 mm,250 mm,9760 mm,11,7.7,332
516,19.08 ton,1000 mm,250 mm,9760 mm,11,7.8,332
625,16.78 ton,1010 mm,250 mm,8500 mm,3.6,2,356
559,19.54 ton,1390 mm,250 mm,7190 mm,12.2,10.4,339
349,28.41 ton,1300 mm,250 mm,11180 mm,8.8,12.6,436
566,19.49 ton,1000 mm,250 mm,9970 mm,11.3,6.6,346
447,18.61 ton,1000 mm,250 mm,9520 mm,11.4,9.2,338
648,25.17 ton,1290 mm,250 mm,9980 mm,8.3,2,344
358,22.39 ton,1260 mm,250 mm,9090 mm,8.6,11.6,435
507,29.73 ton,1290 mm,250 mm,11790 mm,9.3,9.9,334
472,18.35 ton,900 mm,250 mm,10430 mm,10.1,10.1,300
382,18.09 ton,900 mm,246 mm,10450 mm,10.3,10,300
461,19.21 ton,900 mm,250 mm,10920 mm,10.3,9.2,301
672,18.59 ton,1000 mm,250 mm,9510 mm,9.8,3.3,417
495,20 ton,1260 mm,250 mm,8120 mm,9.5,12.1,429
694,21.21 ton,1000 mm,250 mm,10850 mm,10,3.1,416
509,26.3 ton,1310 mm,250 mm,10270 mm,9.5,10.4,337
458,29.73 ton,1290 mm,250 mm,11790 mm,9.5,9.9,337
401,19.49 ton,1000 mm,250 mm,9970 mm,11.2,6.7,345
368,21.59 ton,960 mm,246 mm,11690 mm,8.8,10.3,320
472,16.88 ton,950 mm,250 mm,9090 mm,11.7,4.6,342
647,16.88 ton,950 mm,250 mm,9090 mm,11.9,4.6,342
539,16.88 ton,950 mm,250 mm,9090 mm,11.9,5,342
306,22.9 ton,1290 mm,250 mm,9080 mm,9.8,17,340
419,32.32 ton,1440 mm,250 mm,11480 mm,11.4,12.4,300
595,22.85 ton,1290 mm,250 mm,9060 mm,5.7,4.4,357
651,16.63 ton,1010 mm,250 mm,8420 mm,8.9,1.5,338
612,16.65 ton,1010 mm,250 mm,8430 mm,9,3.3,346
654,23.2 ton,1240 mm,250 mm,9570 mm,5.7,2.3,355
666,27.81 ton,1240 mm,250 mm,11470 mm,5.2,2,368
611,29.66 ton,1290 mm,250 mm,11760 mm,5.3,3.7,258
660,16.63 ton,1010 mm,250 mm,8420 mm,9.7,3,350
513,19.08 ton,1000 mm,250 mm,9760 mm,10.9,7.9,332
610,23.63 ton,1020 mm,250 mm,11850 mm,8.1,4,331
537,31.09 ton,1390 mm,250 mm,11440 mm,13.4,21.7,305
304,27.9 ton,1340 mm,250 mm,10650 mm,13.4,21,307
334,22.19 ton,1000 mm,250 mm,11350 mm,6.1,23.4,418
283,18.37 ton,1090 mm,250 mm,8620 mm,8.4,13.8,327
263,27.62 ton,1570 mm,244 mm,9220 mm,8.7,13.7,268
255,22.99 ton,1020 mm,250 mm,11530 mm,10.7,16.9,337
443,28.74 ton,1400 mm,250 mm,10500 mm,12,17.4,316
364,27.8 ton,1290 mm,250 mm,11240 mm,13.5,20.7,309
497,22.19 ton,1290 mm,250 mm,8800 mm,12.8,9.1,342
345,28.78 ton,1240 mm,250 mm,11870 mm,13.7,10.8,325
393,26.58 ton,1290 mm,250 mm,10540 mm,8.6,11.6,334
583,34.99 ton,1570 mm,250 mm,11400 mm,11.7,6.6,260
547,24.21 ton,1290 mm,250 mm,9600 mm,9.7,9.9,337
369,22.9 ton,1310 mm,250 mm,8940 mm,10,17.5,343
555,30.6 ton,1570 mm,250 mm,9970 mm,14,7.7,256
316,27.77 ton,1290 mm,250 mm,11010 mm,9,12,337
564,30.6 ton,1570 mm,250 mm,9970 mm,14.3,8.3,257
733,15.32 ton,1110 mm,250 mm,7060 mm,6,2.4,352
338,25.55 ton,1530 mm,246 mm,8680 mm,14.6,16.7,301
524,23.18 ton,1260 mm,250 mm,9410 mm,6,13.1,341
393,19.68 ton,1260 mm,250 mm,7990 mm,6,13.5,338
390,22.46 ton,1290 mm,250 mm,9010 mm,10.4,10,342
390,19.55 ton,1290 mm,250 mm,7750 mm,10.6,17.6,343
423,21.38 ton,1400 mm,250 mm,7810 mm,12.9,7.4,273
364,26.28 ton,1290 mm,250 mm,10420 mm,12.7,15.5,337
324,23.65 ton,1020 mm,250 mm,11860 mm,10.2,13.7,337
569,29.73 ton,1290 mm,250 mm,11790 mm,9.4,9.9,335
501,29.71 ton,1310 mm,250 mm,11690 mm,9.4,10,334
391,29.19 ton,1260 mm,250 mm,11850 mm,9.4,10,342
218,23.65 ton,1020 mm,250 mm,11860 mm,9.4,16.4,344
378,23.62 ton,1490 mm,250 mm,8110 mm,12.8,7.7,272
348,26.69 ton,1240 mm,250 mm,11190 mm,13.4,24.6,447
520,34.99 ton,1570 mm,250 mm,11400 mm,13.9,8,250
388,23.65 ton,1020 mm,250 mm,11860 mm,10.3,13.6,340
387,22.65 ton,1350 mm,250 mm,8710 mm,8.6,13,335
588,30.6 ton,1570 mm,250 mm,9970 mm,14,7.8,255
429,30.6 ton,1570 mm,250 mm,9970 mm,14,7.9,257
520,30.6 ton,1570 mm,250 mm,9970 mm,14.2,8.1,255
366,23.65 ton,1020 mm,250 mm,11860 mm,11,15.4,353
502,29.25 ton,1300 mm,250 mm,11690 mm,13,10.9,352
310,28.68 ton,1240 mm,250 mm,11830 mm,10.8,7.7,336
612,29.03 ton,1570 mm,250 mm,9550 mm,14.5,7.8,255
452,24.46 ton,1570 mm,250 mm,7970 mm,10.9,7.3,267
505,28.6 ton,1290 mm,250 mm,11340 mm,10.2,10,336
472,19.37 ton,1090 mm,250 mm,9090 mm,7.9,13.4,328
647,29.1 ton,1570 mm,250 mm,9480 mm,11.3,4.3,257
346,34.88 ton,1550 mm,250 mm,11510 mm,11.4,12.3,243
354,19.37 ton,1090 mm,250 mm,9090 mm,8,13.4,327
764,18.17 ton,960 mm,250 mm,9680 mm,4.7,1.6,336
414,28.79 ton,1290 mm,250 mm,11640 mm,6.4,5.3,336
438,19.29 ton,1300 mm,250 mm,7590 mm,9.7,10.6,300
